stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
COUNTRY,HON,MULTI_COHORT,clarithromycin,15,2,13,2,13,0,0,0.13333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.752947361999529,1.0,0.0,0.841886116991581,0.0,0.24705263800047092,0.15811388300841897,1.0,0.752947361999529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,HON,MULTI_COHORT,levofloxacin,15,5,10,5,10,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4781762498950185,1.0,0.6915028921812392,1.0,0.0,0.5218237501049814,0.0,0.3084971078187607,0.4781762498950185,1.0,0.6915028921812392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,IND,MULTI_COHORT,levofloxacin,5,4,1,4,1,0,0,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3976353643835253,1.0,0.025,1.0,0.0,0.6023646356164746,0.0,0.975,0.3976353643835253,1.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,ISR,MULTI_COHORT,clarithromycin,3,2,1,2,1,0,0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.025,1.0,0.0,0.841886116991581,0.0,0.975,0.15811388300841897,1.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,ITA,MULTI_COHORT,clarithromycin,17,8,9,8,9,0,0,0.47058823529411764,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6305833524471807,1.0,0.6637328831200572,1.0,0.0,0.3694166475528192,0.0,0.3362671168799428,0.6305833524471807,1.0,0.6637328831200572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,ITA,MULTI_COHORT,levofloxacin,17,13,4,13,4,0,0,0.7647058823529411,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.752947361999529,1.0,0.3976353643835253,1.0,0.0,0.24705263800047092,0.0,0.6023646356164746,0.752947361999529,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,JAP,MULTI_COHORT,clarithromycin,9,6,3,6,3,0,0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5407418735600995,1.0,0.2924017738212866,1.0,0.0,0.45925812643990044,0.0,0.7075982261787133,0.5407418735600995,1.0,0.2924017738212866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,JAP,MULTI_COHORT,levofloxacin,9,5,4,5,4,0,0,0.5555555555555556,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4781762498950185,1.0,0.3976353643835253,1.0,0.0,0.5218237501049814,0.0,0.6023646356164746,0.4781762498950185,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,JOR,MULTI_COHORT,clarithromycin,5,1,4,1,4,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.3976353643835253,1.0,0.0,0.975,0.0,0.6023646356164746,0.025,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,JOR,MULTI_COHORT,levofloxacin,5,1,4,1,4,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.3976353643835253,1.0,0.0,0.975,0.0,0.6023646356164746,0.025,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
